epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
12,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6026197449389805,0.5275658939295172,0.6732764382425346,0.7957736892258395,0.7221885105919116,0.8361678889062255
13,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.5487089396876245,0.6540597267193765,0.737689496265692,0.5391362011302041,0.7816120936220131,0.636526759244812
14,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.5096784050551749,0.5687871295366784,0.7473396794062747,0.6683171234895372,0.8288348637663706,0.7884225308160399
15,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.5425551279811857,0.6939464730383805,0.7299101310424007,0.6302576733611215,0.8102805909253712,0.7090419722265564
16,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.4541544265852038,0.8782114659343518,0.7793556526423706,0.5391362011302041,0.8526542069173151,0.636526759244812
17,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.49585508997277294,0.7257097661601786,0.7673834577836864,0.5636119557482047,0.820141761875347,0.6484630987673583
18,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.5342125948018371,1.116254431401356,0.7281747347480105,0.41255479177367044,0.7859586445675251,0.4350912778904665
19,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.43077212793465125,0.6422047627829184,0.7898625263260671,0.5650816696914701,0.8645222868770341,0.7099391480730223
20,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.4844738712414997,0.5090745203515762,0.7912022533865402,0.7376740321349552,0.8446300746962061,0.849001404275238
21,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3869171377975852,0.4270907716854504,0.8282974452049084,0.7222985172943119,0.8817386203782046,0.8430332345139647
